City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Boa Vista,BR,2020-08-23 17:21:00,2.82,-60.67,82.4,65,40,9.17,scattered clouds
163,Bonavista,CA,2020-08-23 17:21:00,48.65,-53.11,64.99,76,0,1.99,clear sky
164,Flinders,AU,2020-08-23 17:19:45,-34.58,150.86,51.01,60,0,11.99,clear sky
165,Arraial Do Cabo,BR,2020-08-23 17:19:17,-22.97,-42.03,73.4,60,40,8.05,scattered clouds
166,Tura,IN,2020-08-23 17:20:12,25.52,90.22,74.77,94,67,4.12,light rain
167,Katsuura,JP,2020-08-23 17:19:51,35.13,140.3,78.8,88,40,4.7,scattered clouds
168,Yulara,AU,2020-08-23 17:19:44,-25.24,130.99,62.6,36,0,10.29,clear sky
169,Lapeer,US,2020-08-23 17:21:02,43.05,-83.32,87.01,45,40,6.93,scattered clouds
170,Vilyuysk,RU,2020-08-23 17:21:02,63.76,121.62,41.54,75,0,4.59,clear sky
171,Kyabe,TD,2020-08-23 17:21:02,9.45,18.94,75.97,92,73,3.58,broken clouds
172,Mwinilunga,ZM,2020-08-23 17:21:03,-11.74,24.43,71.02,28,14,4.36,few clouds
173,La Libertad,EC,2020-08-23 17:17:53,-2.23,-80.9,69.8,83,90,8.05,overcast clouds
174,Fortuna,US,2020-08-23 17:19:58,40.6,-124.16,61.0,93,75,5.82,broken clouds
175,Atar,MR,2020-08-23 17:19:36,20.52,-13.05,112.59,9,19,8.75,few clouds
176,Calabozo,VE,2020-08-23 17:21:04,8.92,-67.43,84.9,70,43,2.89,scattered clouds
177,Kruisfontein,ZA,2020-08-23 17:19:40,-34.0,24.73,59.0,80,19,3.0,few clouds
178,Puerto Quijarro,BO,2020-08-23 17:21:04,-17.78,-57.77,92.16,23,0,4.14,clear sky
179,Komsomolskiy,UZ,2020-08-23 17:21:04,40.43,71.72,77.0,38,0,9.17,clear sky
180,Polis,CY,2020-08-23 17:21:05,35.04,32.43,81.0,69,0,5.61,clear sky
181,Brae,GB,2020-08-23 17:21:05,60.4,-1.35,51.8,71,75,13.87,broken clouds
182,Ossora,RU,2020-08-23 17:21:05,59.24,163.07,43.83,75,80,5.93,broken clouds
183,Xingcheng,CN,2020-08-23 17:19:37,40.62,120.72,72.82,91,100,9.01,overcast clouds
184,Moose Factory,CA,2020-08-23 17:21:05,51.26,-80.61,57.2,67,1,4.7,clear sky
185,Kuito,AO,2020-08-23 17:21:06,-12.38,16.93,72.01,29,47,3.02,scattered clouds
186,Paamiut,GL,2020-08-23 17:19:23,61.99,-49.67,42.58,88,5,4.18,clear sky
187,Sillod,IN,2020-08-23 17:21:07,20.3,75.65,73.09,86,100,11.56,overcast clouds
188,Irbil,IQ,2020-08-23 17:21:07,36.19,44.01,91.4,21,20,5.82,few clouds
189,Sao Miguel Do Araguaia,BR,2020-08-23 17:21:08,-13.28,-50.16,99.54,21,49,2.89,scattered clouds
190,Banting,MY,2020-08-23 17:21:08,2.82,101.5,78.8,88,20,3.36,few clouds
191,Paso De Los Toros,UY,2020-08-23 17:21:08,-32.82,-56.52,64.11,59,0,12.55,clear sky
192,Lorengau,PG,2020-08-23 17:19:47,-2.02,147.27,78.15,84,100,8.48,moderate rain
193,Ucluelet,CA,2020-08-23 17:17:14,48.93,-125.55,62.01,93,75,2.24,broken clouds
194,Bambous Virieux,MU,2020-08-23 17:21:09,-20.34,57.76,72.0,73,20,17.22,few clouds
195,Antofagasta,CL,2020-08-23 17:20:20,-23.65,-70.4,57.2,76,90,11.41,overcast clouds
196,Guerrero Negro,MX,2020-08-23 17:21:10,27.98,-114.06,81.36,54,88,15.32,overcast clouds
197,Doha,QA,2020-08-23 17:21:10,25.29,51.53,96.8,79,10,6.93,clear sky
198,Bengkulu,ID,2020-08-23 17:20:01,-3.8,102.27,76.82,88,96,4.16,overcast clouds
199,Victoria,HK,2020-08-23 17:19:55,22.29,114.16,84.0,74,100,8.01,overcast clouds
200,Ransang,PH,2020-08-23 17:21:11,8.96,117.58,79.59,76,92,4.03,overcast clouds
201,Alekseyevka,RU,2020-08-23 17:21:11,50.63,38.69,65.26,50,0,4.45,clear sky
202,Venancio Aires,BR,2020-08-23 17:21:12,-29.61,-52.19,72.0,52,0,3.0,clear sky
203,Mareeba,AU,2020-08-23 17:21:12,-17.0,145.43,55.4,87,77,2.01,broken clouds
204,Etchojoa,MX,2020-08-23 17:21:12,26.92,-109.63,95.0,51,46,4.0,scattered clouds
205,Tailai,CN,2020-08-23 17:21:13,46.38,123.4,62.01,73,100,3.0,light rain
206,Zhigansk,RU,2020-08-23 17:21:13,66.77,123.37,40.48,86,10,14.07,clear sky
207,Atuona,PF,2020-08-23 17:19:30,-9.8,-139.03,78.1,77,10,15.88,clear sky
208,Port Alfred,ZA,2020-08-23 17:19:51,-33.59,26.89,59.49,81,1,9.35,clear sky
209,Kichera,RU,2020-08-23 17:21:13,55.94,110.1,56.1,85,99,2.15,light rain
210,Kaeo,NZ,2020-08-23 17:21:14,-35.1,173.78,55.0,3,6,10.0,clear sky
211,Kavieng,PG,2020-08-23 17:21:14,-2.57,150.8,77.45,90,100,10.16,light rain
212,Fuxin,CN,2020-08-23 17:21:14,42.02,121.66,70.81,80,100,7.7,light rain
213,Bibai,JP,2020-08-23 17:21:14,43.32,141.86,62.01,97,69,2.44,broken clouds
214,Puerto Ayora,EC,2020-08-23 17:19:31,-0.74,-90.35,71.6,64,75,20.8,broken clouds
215,Kharp,RU,2020-08-23 17:19:33,66.8,65.81,49.5,84,60,3.09,broken clouds
216,Lata,PT,2020-08-23 17:21:16,40.16,-8.33,82.99,46,32,8.21,scattered clouds
217,Birjand,IR,2020-08-23 17:21:16,32.87,59.22,86.0,25,40,6.93,scattered clouds
218,Lebu,CL,2020-08-23 17:19:53,-37.62,-73.65,51.06,91,100,19.91,light rain
219,Asau,RO,2020-08-23 17:19:24,46.43,26.4,72.0,81,10,2.91,clear sky
220,Yar-Sale,RU,2020-08-23 17:15:29,66.83,70.83,53.29,92,56,11.97,broken clouds
221,Hovd,MN,2020-08-23 17:21:17,48.01,91.64,62.47,39,51,9.6,broken clouds
222,Leningradskiy,RU,2020-08-23 17:21:17,69.38,178.42,43.38,90,100,10.54,overcast clouds
223,Sorong,ID,2020-08-23 17:21:17,-0.88,131.25,76.69,86,99,4.68,light rain
224,Gold Coast,AU,2020-08-23 17:18:06,-28.0,153.43,55.99,56,0,3.36,clear sky
225,Pisco,PE,2020-08-23 17:20:07,-13.7,-76.22,64.0,77,90,8.05,overcast clouds
226,Sao Joaquim,BR,2020-08-23 17:21:18,-28.29,-49.93,56.61,57,0,5.12,clear sky
227,Ometepec,MX,2020-08-23 17:21:18,16.68,-98.42,86.54,63,25,3.15,scattered clouds
228,Kachug,RU,2020-08-23 17:21:19,53.96,105.88,53.04,89,100,3.76,overcast clouds
229,Port Lincoln,AU,2020-08-23 17:21:19,-34.73,135.87,47.39,81,64,3.96,broken clouds
230,Muncar,ID,2020-08-23 17:21:19,-8.43,114.33,72.7,88,29,0.34,scattered clouds
231,Abu Dhabi,AE,2020-08-23 17:19:35,24.47,54.37,96.8,67,63,9.17,broken clouds
232,Vladicin Han,RS,2020-08-23 17:21:19,42.71,22.06,78.01,63,7,3.0,clear sky
233,Ivdel,RU,2020-08-23 17:21:20,60.69,60.42,51.69,82,22,2.59,few clouds
234,Rawlins,US,2020-08-23 17:21:20,41.79,-107.24,84.99,17,1,4.7,clear sky
235,Lavrentiya,RU,2020-08-23 17:19:28,65.58,-171.0,46.65,95,97,4.79,overcast clouds
236,Ramhormoz,IR,2020-08-23 17:21:20,31.28,49.6,96.8,34,0,9.17,clear sky
237,Calvinia,ZA,2020-08-23 17:21:20,-31.47,19.78,60.01,32,0,5.37,clear sky
238,Guiratinga,BR,2020-08-23 17:21:21,-16.35,-53.76,99.59,21,1,0.58,clear sky
239,Roma,US,2020-08-23 17:18:04,43.21,-75.46,84.99,54,1,5.35,clear sky
240,Tasiilaq,GL,2020-08-23 17:20:15,65.61,-37.64,48.2,76,0,10.29,clear sky
241,Hambantota,LK,2020-08-23 17:19:24,6.12,81.12,80.6,82,24,12.75,few clouds
242,Carnarvon,AU,2020-08-23 17:19:23,-24.87,113.63,64.4,88,65,14.99,broken clouds
243,Ketchikan,US,2020-08-23 17:21:22,55.34,-131.65,57.2,100,90,9.17,moderate rain
244,Yola,NG,2020-08-23 17:21:22,9.2,12.48,74.62,90,100,6.35,light rain
245,Katherine,AU,2020-08-23 17:21:22,-14.47,132.27,60.8,38,1,6.93,clear sky
246,Caiaponia,BR,2020-08-23 17:21:22,-16.96,-51.81,89.98,27,22,3.96,few clouds
247,Upington,ZA,2020-08-23 17:21:23,-28.45,21.26,69.8,27,0,4.7,clear sky
248,San Pedro,PH,2020-08-23 17:21:23,14.35,121.02,82.99,83,100,2.24,overcast clouds
249,Thompson,CA,2020-08-23 17:19:16,55.74,-97.86,48.2,100,90,6.93,light rain
250,Urdoma,RU,2020-08-23 17:21:23,61.75,48.54,60.98,85,49,3.58,scattered clouds
251,Vao,NC,2020-08-23 17:21:23,-22.67,167.48,70.23,81,100,9.04,overcast clouds
252,Port Elizabeth,ZA,2020-08-23 17:19:13,-33.92,25.57,59.0,82,20,16.11,few clouds
253,Privolzhsk,RU,2020-08-23 17:21:24,57.38,41.29,62.35,73,73,6.8,broken clouds
254,Faya,SA,2020-08-23 17:21:24,18.39,42.45,73.4,88,88,6.93,overcast clouds
255,Kamenka,RU,2020-08-23 17:19:33,51.32,42.77,64.0,58,4,5.95,clear sky
