City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Sao Joaquim,BR,56.61,clear sky,-28.29,-49.93,Pousada Alternativa Cravo e Canela
228,Kachug,RU,53.04,overcast clouds,53.96,105.88,"The hotel ""Empire"""
229,Port Lincoln,AU,47.39,broken clouds,-34.73,135.87,Port Lincoln Hotel
230,Muncar,ID,72.7,scattered clouds,-8.43,114.33,Zaky Homestay
233,Ivdel,RU,51.69,few clouds,60.69,60.42,Ivdel'
235,Lavrentiya,RU,46.65,overcast clouds,65.58,-171.0,
237,Calvinia,ZA,60.01,clear sky,-31.47,19.78,Die Lemoenhuis
240,Tasiilaq,GL,48.2,clear sky,65.61,-37.64,The Red House
242,Carnarvon,AU,64.4,broken clouds,-24.87,113.63,Hospitality Carnarvon
243,Ketchikan,US,57.2,moderate rain,55.34,-131.65,Snows Cove Lodge
244,Yola,NG,74.62,light rain,9.2,12.48,Muna Hotel
245,Katherine,AU,60.8,clear sky,-14.47,132.27,Pine Tree Motel
247,Upington,ZA,69.8,clear sky,-28.45,21.26,River Place Manor
249,Thompson,CA,48.2,light rain,55.74,-97.86,Burntwood Hotel
250,Urdoma,RU,60.98,scattered clouds,61.75,48.54,Vikonda
251,Vao,NC,70.23,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
252,Port Elizabeth,ZA,59.0,few clouds,-33.92,25.57,39 On Nile Guest House
253,Privolzhsk,RU,62.35,broken clouds,57.38,41.29,Mini-Hotel Voyage
254,Faya,SA,73.4,overcast clouds,18.39,42.45,مقبرة ال مجمل
255,Kamenka,RU,64.0,clear sky,51.32,42.77,
256,Ilhabela,BR,66.42,light rain,-23.78,-45.36,Ilha Flat Hotel
257,Prince Rupert,CA,57.2,overcast clouds,54.32,-130.32,Crest Hotel
261,Menongue,AO,74.01,broken clouds,-14.66,17.69,Ritz Lauca
264,Iskateley,RU,58.32,few clouds,67.68,53.15,Hostel Agat
266,Ancud,CL,51.01,overcast clouds,-41.87,-73.82,Hotel Arena Gruesa
267,Rawson,AR,63.97,broken clouds,-43.3,-65.1,Hotel Punta León
269,Souillac,MU,71.6,few clouds,-20.52,57.52,Bils' Villa
272,Ostrovnoy,RU,58.28,overcast clouds,68.05,39.51,
274,Tiszadob,HU,71.6,broken clouds,48.02,21.17,Kolozsi Vendégház
276,Valleyview,CA,61.38,clear sky,55.07,-117.29,Paradise Inn & Suites
277,Aklavik,CA,60.8,broken clouds,68.22,-135.01,Aklavik Inn
279,Kamaishi,JP,72.27,overcast clouds,39.27,141.88,Hotel Route Inn Kamaishi
280,Bayanday,RU,53.76,overcast clouds,53.07,105.51,Guesthouse Nika
281,Gladstone,AU,48.2,clear sky,-23.85,151.25,Highpoint International
282,Beringovskiy,RU,49.62,clear sky,63.05,179.32,Beringgorski
